date_collected,product_itemid,shopid,product_name,product_price,product_price_min,product_price_max,product_discount,product_brand,product_like_count,product_comment_count,product_views,product_total_rating,stock,units_sold,shop_location
6/28/2021,5356526421,314266101,2020 New Summer Casual Fashion Tshirt Mens Short Sleeves Solid Colors Male Loose Round Neck Korean Style Tops Tee Tshirt for Men,306,215,215,30,No Brand,67,27,523,4.56,23897,70,Mainland China
6/28/2021,2300304599,62404318,Lucky #T182 JUST DO IT Tshirt Unisex TOPS COUPLE TEES Korean Fashion,126,62,62,51,No Brand,248,1748,3981,4.87,1230,5096,"Navotas City, Metro Manila"
6/28/2021,9644460615,420881087,Blouse Short Women's V-neck All-match Sweater Women Korean Short-sleeved T-shirt,616,280,280,55,No Brand,1,0,166,0,15984,0,Mainland China
6/28/2021,6215597664,59347195,JUNE 29 Korean Couple Tops OutFit / Outwear For Summer,175,128,128,27,No Brand,16,27,99,4.89,2985,65,"Bacoor, Cavite"
6/28/2021,6258153566,283754579,Casual Loose T Shirt Couple Round Neck Cotton Tshirt Mens Apparel Fashion Ins Trend Tops Korean Version Stripes Short-sleeved T-shirt Five Point Wild for Men and Women,432,269,269,38,No Brand,23,3,97,5,7982,9,Mainland China
6/28/2021,5063630841,307700422,☪Fashion.front-【M-2XL】Plain Short-Sleeved Shirt Five-point Sleeve Tops Korean Men's Hooded Drop Shoulder Clothing Black Casual Simple Thin Bts Shirt Couple shirt unisex,594,318,318,46,No Brand,23,5,112,5,11979,14,Mainland China
6/28/2021,11909468091,50099473,Simple ACTIVE long-sleeved T-shirt DRI FIT unisex regular size solid color round neck top,299,89,99,70,No Brand,20,16,1670,5,10828,60,"Valenzuela City, Metro Manila"
6/28/2021,4552946319,156756973,【5 Color】Korean Fashion Weather Pattern Printed Short-sleeved T-shirt Unisex Simple and Versatile Loose Casual Tee Tops for Men Summer Trend Couple Round Neck Tshirts,284,199,199,30,No Brand,142,20,1186,4.9,24920,67,Mainland China
6/28/2021,3861674318,311167337,【3 Colors】Men's Long Sleeve T Shirt Solid Color Korean Style Trendy Tops Round Neck Tshirt Bottoming Casual Wild Long Sleeves,558,251,251,55,No Brand,36,15,1796,4.73,14899,57,Mainland China
6/28/2021,3259550160,314266101,Korean Style Short sleeved Tshirt Printed T-shirt Trend Half-sleeved Tshirt Chic Summer Round Neck Top mens Clothes  Streetwear male Cool Black Loose Summer Sleeve Tops Tees for men,270,209,219,23,No Brand,2191,192,3480,4.54,19495,458,Mainland China
6/28/2021,3390794526,449754824,【BTG】Embroidered Love Short-sleeved T-shirt Women Loose and Versatile Simple Top Ins,556,278,278,50,No Brand,17,0,295,0,9999,0,Mainland China
6/28/2021,2769500662,157053609,Korean round neck T Shirt Tops Unisex On Sale,,69,69,0,No Brand,60,120,72,4.63,10306,406,"Santa Cruz, Metro Manila"
6/28/2021,1925126763,35371686,korean formal sports men tops t-shirt for mens,480,118,118,75,No Brand,125,139,173,4.3,3972,507,"Binondo, Metro Manila"
6/28/2021,7756813987,314266101,2020 Hot Sale New Short Sleeve Mens Summer Cotton Korean Style T Shirts Short Sleeve Male Tops Tee Basic Men's Casual T-shirt for Men,284,199,199,30,No Brand,38,11,212,4.91,20954,22,Mainland China
6/28/2021,8642068654,408869064,2021New Short Sleeve Women's Summer Loose Fashion Brand Half SleeveTT-shirtinsTrendy Korean Style Simple New Couple Half Sleeve T-shirt,380,249,294,35,No Brand,2,0,21,0,28000,0,Mainland China
6/28/2021,3458808759,315447242,M-4XL plus size Korean style short sleeve t-shirt men's rainbow stripe loose top,340,239,239,30,No Brand,45,27,304,4.41,2331,69,Mainland China
6/28/2021,9350245973,372895129,Thin men's Short Sleeve Shirt Men's loose style Hong Kong Fashion Korean fashion trend 5 sleeve shirt Polo Top Crop Top,599,300,300,50,No Brand,11,4,168,5,7984,7,Mainland China
6/28/2021,9637189690,314266101,【Plus Size】M-5XL New Short-sleeved Men's Reflective Daisy Printing Loose Casual Half-sleeved Couple Summer Five-point Sleeve Top O Neck Harajuku Male Tee Korean Style Tops for Men,284,199,229,30,No Brand,15,4,235,4.75,69919,9,Mainland China
6/28/2021,10810284076,36934404,MELODY Basic Croptop Pullover Sweatshirt Long Sleeve Top 11206#,299,75,75,75,No Brand,129,7,5127,4.29,1940,17,"Taytay, Rizal"
6/28/2021,2072014795,39587061,2019 tops tees new Korean fashion special T-shirt,,65,65,0,No Brand,27,65,68,4.89,7961,190,"Bacoor, Cavite"
6/28/2021,9021642718,371422543,Oversize Korean Men T Shirt Hip-hop Loose Short-sleeved Tshirt Men Top,496,248,248,50,No Brand,92,44,1439,4.68,6891,98,Mainland China
6/28/2021,3162131349,302250255,【3 Colors 】M-2XL Plain Short-Sleeved Shirt Five-point Sleeve Tops Korean Men's Hooded Drop Shoulder Clothing Black Casual Simple Thin Bts Shirt Couple shirt unisex,498,347,357,30,No Brand,1900,337,4076,4.71,23842,781,Mainland China
6/28/2021,9914527073,57235917,INSPI Oversized Shirt Collection Graphic Tshirt For Men Women Unisex Korean Fashion,300,199,199,34,Inspi,22951,16753,664597,4.88,7126,42069,"Quezon City, Metro Manila"
